Type,RStudio,Stats,Location,Cohort,lon,lat
Learner,1,3,"Toronto, Ontario, Canada",First,NA,NA
Learner,2,3,"Bangalore, India",First,77.5945627,12.9715987
Learner,2,4,"Chicago, IL, USA",First,NA,NA
Learner,3,4,"Atlanta, GA",First,NA,NA
Learner,1,3,"Atlanta, GA, USA",First,-84.3879824,33.7489954
Mentor,5,3,"Ames, Iowa, USA",First,-93.63191309999999,42.0307812
Mentor,5,4,"New York, NY",First,-74.0059728,40.7127753
Learner,1,2,"Long Beach, CA",First,-118.1937395,33.7700504
Learner,2,3,"Ann Arbor, MI, United States",First,-83.7430378,42.2808256
Mentor,5,4,"Houston, Texas",First,-95.3698028,29.7604267
Learner,1,3,"Greenbelt, MD, USA",First,-76.87552819999999,39.0045544
Learner,3,3,Illinois,First,-89.3985283,40.6331249
Learner,2,2,"Chicago, IL",First,-87.6297982,41.8781136
Learner,2,3,"New Delhi, India",First,77.2090212,28.6139391
Learner,1,2,"Oakville, Ontario",First,-79.6876659,43.467517
Learner,1,3,"City of Buenos Aires, Argentina",First,NA,NA
Learner,1,1,Dublin,First,-6.2603097,53.3498053
Learner,2,2,"London, United kingdom",First,-0.1277583,51.5073509
Mentor,4,3,"Santa Barbara, CA",First,NA,NA
Learner,3,4,"New York, NY, USA",First,-74.0059728,40.7127753
Learner,2,3,"Indore, India",First,75.8577258,22.7195687
Learner,3,3,"London, UK",First,-0.1277583,51.5073509
Learner,1,2,Boise,First,-116.2146068,43.6187102
Learner,3,3,"Minneapolis, MN, USA",First,-93.2650108,44.977753
Learner,1,2,"Boise, Idaho, United States of America",First,-116.2146068,43.6187102
Mentor,5,4,"Canterbury, uk",First,NA,NA
Learner,2,3,"Las Vegas, Nevada, United States",First,NA,NA
Learner,1,3,"New York, New York",First,-115.1745559,36.1023715
Learner,1,2,"Besançon, France",First,6.024053899999999,47.237829
Learner,3,2,U.K.,First,-3.435973,55.378051
Learner,4,3,"Hitchin, Hertfordshire, UK",First,-0.283414,51.94921
Learner,1,1,"Newcastle, NSW, Australia",First,151.7816802,-32.9282712
Learner,4,5,los angeles,First,-118.2436849,34.0522342
Mentor,5,5,"Chico, CA, USA",First,NA,NA
Learner,1,1,"Minneapolis, MN",First,-93.2650108,44.977753
Learner,1,3,"Raleigh, NC, USA",First,-78.6381787,35.7795897
Learner,2,2,"Alexandria,VA, USA",First,-77.0469214,38.8048355
Learner,4,4,Tokyo / Japan,First,139.6917064,35.6894875
Learner,1,3,"Sydney, NSW, Australia",First,151.2092955,-33.8688197
Learner,4,3,United Arab Emirates,First,53.847818,23.424076
Learner,4,2,Portugal,First,-8.224454,39.39987199999999
Learner,3,3,UK,First,-3.435973,55.378051
Learner,2,2,"Sevilla, Spain",First,-5.9844589,37.3890924
Mentor,5,5,"Mérida, Merida, Venezuela",First,-71.1804988,8.5698244
Learner,2,2,"Lima, Perú",First,-77.042754,-12.0463731
Learner,3,2,VENEZUELA,First,-66.58973,6.42375
Learner,2,2,"Cambridge, UK",First,0.121817,52.205337
Mentor,5,5,"Evanston, IL, USA",First,-87.68769689999999,42.0450722
Learner,3,3,"La Paz, Bolivia",First,-68.11929359999999,-16.489689
Learner,3,3,"Durham, England",First,-1.584852,54.77525
Learner,4,5,Bogotá / Colombia,First,-74.072092,4.710988599999999
Learner,3,3,"Pasto,Narino,Colombia",First,-77.285787,1.2058837
Learner,2,3,"Lima, Lima, Peru",First,NA,NA
Learner,4,4,Venezuela,First,-66.58973,6.42375
Learner,4,3,"Medellín, Antioquia, Colombia",First,-75.5812119,6.244203
Learner,2,2,"Bogotá, Colombia",First,NA,NA
Mentor,4,3,"Bangalore, India",First,77.5945627,12.9715987
Learner,3,3,Iquitos,First,-73.25163260000001,-3.7436735
Learner,2,4,"bogo,colombia",First,NA,NA
Learner,2,5,"CA, USA",First,-119.4179324,36.778261
Learner,4,2,"Washington, DC",First,-77.0368707,38.9071923
