Type,RStudio,Stats,Location,Cohort,lon,lat
Learner,2,4,FAIRFAX,Second,-77.30637329999999,38.84622359999999
Learner,3,2,"Chicago, IL, US",Second,-87.6297982,41.8781136
Learner,3,3,"Harrisonburg, VA, USA",Second,-78.8689155,38.4495688
Learner,3,3,"Harrisonburg, VA, USA",Second,NA,NA
Learner,1,3,"Chicago, IL, US",Second,-87.6297982,41.8781136
Learner,4,4,"Toruń, Poland",Second,18.5984437,53.0137902
Learner,3,3,"Sound Beach, NY",Second,-72.9678811,40.9562099
Learner,2,4,"Lakeland, Fl, USA",Second,NA,NA
Learner,2,2,"Toronto, Ontario",Second,-79.3831843,43.653226
Learner,2,3,"Salt Lake City, UT, USA",Second,-111.8910474,40.7607793
Learner,4,4,Santa Barbara,Second,-119.6981901,34.4208305
Learner,4,4,Kolkata,Second,88.36389500000001,22.572646
Learner,1,5,"Durham, NC USA",Second,NA,NA
Learner,3,2,"ChicagoLand, Illinois, USA",Second,-88.2279841,42.2741353
Learner,2,3,"Kuala Lumpur, Malaysia",Second,101.686855,3.139003
Learner,3,3,Arizona,Second,-111.0937311,34.0489281
Learner,3,3,"Pittsburgh, PA",Second,-79.9958864,40.44062479999999
Learner,1,3,"Calgary, AB Canada",Second,-114.0708459,51.0486151
Learner,4,4,"Portland, Ore.",Second,NA,NA
Mentor,4,4,"Berlin, Germany",Second,13.404954,52.52000659999999
Learner,3,3,"London, England",Second,-0.1277583,51.5073509
Mentor,3,3,Belgium,Second,4.469936,50.503887
Learner,4,4,US,Second,NA,NA
Mentor,5,5,"Washington, DC",Second,-77.0368707,38.9071923
Learner,2,3,Austin,Second,-97.7430608,30.267153
Learner,3,3,"Santiago, Chile",Second,-70.6692655,-33.4488897
Learner,3,4,"Sao Paulo, Brazil",Second,NA,NA
Learner,2,3,Washington DC,Second,-77.0368707,38.9071923
Learner,4,4,"Durham, NC, USA",Second,-78.898619,35.9940329
Learner,3,2,"Hyderabad, Telangana, India",Second,78.486671,17.385044
Mentor,5,5,"Chicago, IL, USA",Second,-87.6297982,41.8781136
Mentor,5,4,Massachusetts USA,Second,NA,NA
Learner,4,4,Poland,Second,19.145136,51.919438
Learner,3,2,"Chicago, IL, USA",Second,-87.6297982,41.8781136
Learner,3,3,"Durham, NC, USA",Second,-78.898619,35.9940329
Mentor,5,5,"Houston, TX",Second,NA,NA
Learner,3,4,"Brooklyn, NY, USA",Second,-73.9441579,40.6781784
Learner,3,3,"Calgary, Alberta, Canada",Second,-114.0708459,51.0486151
Mentor,4,3,"Tema, Ghana",Second,0.0302354,5.7348119
Mentor,5,5,"Cambridge, MA, USA",Second,-71.10973349999999,42.3736158
Learner,4,4,"Portland, Maine, USA",Second,-70.2553259,43.66147100000001
Learner,3,3,"Plano, TX",Second,-96.6988856,33.0198431
Learner,1,1,Texas,Second,-99.9018131,31.9685988
Learner,2,2,"Portland, OR, USA",Second,-122.6764815,45.5230622
Mentor,5,4,"Salvador, Bahia - Brazil",Second,-38.5014136,-12.9722184
Mentor,5,3,London,Second,-0.1277583,51.5073509
Learner,2,3,Puerto Rico,Second,-66.590149,18.220833
Learner,2,3,Puerto Rico,Second,-66.590149,18.220833
Learner,4,3,"WORCESTER, MA, USA",Second,-71.8022934,42.2625932
